TIMESTAMP;Batt ;T;Tmax;Tmin;RH;G;G_std;U;Ustd;Udir;Udir_std;P
06/02/16 14:30;13.73;15.41;16.11;14.94;31.95;986;13.49;2.84;1.075;24.46;29.01;0
06/02/16 15:00;13.73;14.55;15.81;13.73;42.5;978;11.12;2.022;0.957;125.7;64.66;0
06/02/16 15:30;13.73;14.48;15.78;13.67;38.87;956;14.77;2.239;0.847;127.1;59.47;0
06/02/16 16:00;13.7;14.65;15.3;13.88;32.74;900;14.02;1.312;0.723;172.4;42.24;0
06/02/16 16:30;13.67;15.72;16.56;15;28.9;848;29.63;1.609;0.85;342;78.15;0
06/02/16 17:00;13.66;15.23;16.11;14.49;30.62;785.3;14.76;3.27;1.629;352.1;33.52;0
06/02/16 17:30;13.66;14.87;15.68;14.42;30.48;722.8;21.16;4.569;2.427;340.9;36.16;0
06/02/16 18:00;13.7;14.63;15.05;14.23;31.27;637.9;25.28;4.472;2.461;338;45.29;0
06/02/16 18:30;13.73;14.12;14.56;13.78;34.26;547.2;27.04;6.667;2.738;330.6;27.95;0
06/02/16 19:00;13.76;13.73;13.98;13.54;34.63;451.1;27.61;10.83;4.054;326;22.51;0
06/02/16 19:30;13.36;13.51;13.67;13.25;36.82;354.2;27.87;11.02;3.24;326.5;19.37;0
06/02/16 20:00;13.33;13.05;13.39;12.78;41.39;260.4;25.78;9.46;3.233;327;20.05;0
06/02/16 20:30;13.31;12.82;12.98;12.65;43.02;172.5;24.59;10.73;3.046;327.6;15.9;0
06/02/16 21:00;13.21;12.63;12.8;12.38;44.58;93.5;21.85;6.082;3.062;337.8;33.58;0
06/02/16 21:30;13.18;12.1;12.77;11.47;50.27;11.84;5.663;4.479;2.432;329.9;44.24;0
06/02/16 22:00;13.16;11.85;12.08;11.53;54.19;1.487;1.199;3.184;1.923;350.3;58.6;0
06/02/16 22:30;13.15;11.64;11.83;11.47;55.23;0;0;6.743;2.393;343.1;25.91;0
06/02/16 23:00;13.15;11.17;11.68;10.18;60.46;0;0;6.264;2.523;350.9;40.08;0
06/02/16 23:30;13.14;10.79;11.09;10.41;60.85;0;0;3.977;2.117;343.7;52.89;0
07/02/16 00:00;13.13;10.73;11.12;10.5;59.61;0;0;4.963;3.114;349;40.85;0
07/02/16 00:30;13.13;10.6;10.74;10.46;57.99;0;0;4.167;1.882;355.6;35.61;0
07/02/16 01:00;13.12;10.51;10.75;10.31;56.78;0;0;3.926;1.642;357.2;27.5;0
07/02/16 01:30;13.11;10.36;10.51;10.15;55.72;0;0;4.312;1.528;356.4;17.75;0
07/02/16 02:00;13.11;10.16;10.36;9.97;57.54;0;0;5.047;1.406;351.9;16.65;0
