"TOA5","cr3000_HefStation","CR3000","3888","CR3000.Std.28.02","CPU:HEF_program_pluvio_20171003.CR3","52563","HEF"
"TIMESTAMP","RECORD","Batt_Min","PTemp_Avg","TC1_Avg","TC2_Avg","TC3_Avg","Tair_Avg","Hum_Avg","SWin_Avg","SWout_Avg","LWin_Avg","LWout_Avg","CNR4TC_Avg","LWinCor_Avg","LWoutCor_Avg","Wspeed","Wdir","Wspeed_Max","Dist_Avg","Press_Avg","Rain_Tot","intensity_rt","accumulated_rt_nrt","accumulated_nrt","accumulated_total_nrt","bucket_rt","bucket_nrt","temperature_load_cell","status_heating","status_pluvio2","temperature_electronics_unit","power_supply_pluvio2","temperature_orifice_ring_rim"
"TS","RN","Volt","Celsius","Celsius","Celsius","Celsius","Celsius","%","W/m2","W/m2","W/m2","W/m2","Celsius","W/m2","W/m2","m/s","degree","m/s","m","mbar","mm","mm/h","mm","mm","mm","mm","mm","C","","","C","V","C"
"","","Min","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","WVc","WVc","Max","Avg","Avg","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2018-08-01 00:00:00",3821,12.52,6.516,10.64,8.08,12.36,7.988,50.52,-3.400911,4.192506,-89.24657,1.761051,6.57,258.0186,349.0262,1.184,351.5,2.125,0,638.0952,0,0,0,0,0,201.869,201.875,8.7,0,0,8.5,25.3,8
"2018-08-01 00:10:00",3822,12.52,6.497,10.82,7.804,12.28,7.898,54.08,-4.430377,3.787271,-89.78675,1.443936,6.535,257.3045,348.5352,0.94,24.97,1.38,0,638.0994,0,0,0,0,0,201.858,201.86,8.8,0,0,8.5,25.3,8
"2018-08-01 00:20:00",3823,12.52,6.466,10.85,7.691,12.19,7.737,55.62,-5.429855,4.334262,-88.66955,2.499887,6.186,256.6952,347.8647,0.324,189.4,0.789,0,638.1393,0,0,0,0,0,201.848,201.851,8.4,0,0,8.4,25.2,8
"2018-08-01 00:30:00",3824,12.52,6.353,10.73,7.457,12.1,7.631,56.25,-4.21325,4.414233,-86.55783,3.822372,5.748,256.6457,347.0259,0.137,14.47,0.598,0,638.0721,0,0,0,0,0,201.848,201.847,8.4,0,0,8.2,24.7,7.5
"2018-08-01 00:40:00",3825,12.51,6.207,10.62,7.577,12.02,7.587,55.26,-2.845031,4.992158,-86.28682,3.896611,5.641,256.3911,346.5745,0.665,0.331,0.88,0,637.9086,0,0,0,0,0,201.839,201.842,8.5,0,0,8.2,24.7,7.5
"2018-08-01 00:50:00",3826,12.51,6.115,10.48,7.42,11.94,7.639,58.41,-2.742107,4.281619,-86.72732,3.397331,5.687,256.1751,346.2997,0.563,328.3,0.799,0,637.898,0,0,0,0,0,201.833,201.836,8.3,0,0,8.1,25.2,8
"2018-08-01 01:00:00",3827,12.51,6.03,10.56,7.429,11.85,7.651,55.61,-4.022372,4.2489,-86.17813,3.555889,5.554,256.0727,345.8067,0.03,85,0.178,0,637.862,0,0,0,0,0,201.825,201.829,8,0,0,8,25.3,8.5
"2018-08-01 01:10:00",3828,12.51,5.903,10.56,7.166,11.77,7.467,55.76,-3.45523,4.397923,-84.9615,4.416186,5.228,255.6901,345.0677,0.105,11.01,0.417,0,637.8805,0,0,0,0,0,201.82,201.821,8.1,0,0,8,25.3,8.5
"2018-08-01 01:20:00",3829,12.51,5.765,10.31,7.298,11.69,7.449,56.07,-2.210567,4.746933,-85.74297,3.657165,5.326,255.3871,344.7872,0.756,343,1.184,0,637.861,0,0,0,0,0,201.806,201.814,8,0,0,7.9,25.3,8
