"TOA5","142_Llupa","CR2xx","3127","CR310.Std.06.01","CPU:20180815_peru.CR300","26932","Table1"
"TIMESTAMP","RECORD","BattV_Max","BattV_Min","BattV_Avg","BattV_Cam_Max","BattV_Cam_Min","BattV_Cam_Avg","PTemp_C_Avg","AirTC_Avg","RH","Rain_mm_Tot","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","WS_ms_Max","WindDir_Max","SWin_Avg","SWout_Avg","LWin_Avg","LWout_Avg","VWC15cm_Avg","EC15cm_Avg","TSoil15cm_Avg","P15cm_Avg","PA15cm_Avg","VR15cm_Avg","VWC35cm_Avg","EC35cm_Avg","TSoil35cm_Avg","P35cm_Avg","PA35cm_Avg","VR35cm_Avg","VWC60cm_Avg","EC60cm_Avg","TSoil60cm_Avg","P60cm_Avg","PA60cm_Avg","VR60cm_Avg"
"TS","RN","Volts","Volts","Volts","Volts","Volts","Volts","Deg C","Deg C","%","mm","meters/second","Deg","Deg","meters/second","degrees","Wm-2","Wm-2","Wm-2","Wm-2","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless","m^3/m^3","dS/m","Deg C","unitless","nSec","unitless"
"","","Max","Min","Avg","Max","Min","Avg","Avg","Avg","Smp","Tot","WVc","WVc","WVc","Max","Max","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2018-08-17 17:30:00",0,12.85,12.61,12.75,12.9,12.9,12.9,17.24,8.44,72.51,0,0,0,0,0,16.34,18.64,3.112,322.3,362.9,0.032,0.001,12.54,2.902,1.077,0.909,0.036,0,10.98,3.084,1.101,0.908,0.068,0.001,11.16,4.334,1.146,0.908
"2018-08-17 18:00:00",1,12.8,12.47,12.64,12.9,12.89,12.89,17.09,8.15,72.69,0,0,0,0,0,17.35,8.76,1.893,330.1,359.5,0.035,0.001,13.73,3.197,1.187,1.001,0.04,0,12.13,3.398,1.213,1.001,0.074,0.001,12.3,4.776,1.263,1.001
"2018-08-17 18:30:00",2,12.86,12.48,12.7,12.89,12.87,12.88,15.03,7.877,75.2,0,0,0,0,0,22.06,-0.053,0.495,334.8,358.3,0.035,0.001,13.52,3.197,1.187,1.001,0.04,0,12.18,3.398,1.213,1.001,0.074,0.001,12.28,4.777,1.263,1.001
"2018-08-17 19:00:00",3,12.94,12.75,12.85,12.87,12.87,12.87,11.2,7.833,76.98,0,0,0,0,0,18.89,-1.167,0.367,315.2,355.2,0.035,0.001,13.26,3.197,1.187,1.001,0.04,0.001,12.22,3.398,1.213,1.001,0.074,0.001,12.27,4.777,1.263,1.001
"2018-08-17 19:30:00",4,12.94,12.77,12.86,12.87,12.86,12.86,9.28,6.739,80.4,0,0,0,0,0,18.06,-2.615,0.238,271.7,346,0.035,0.001,12.98,3.197,1.187,1.001,0.04,0,12.26,3.398,1.213,1.001,0.074,0.001,12.26,4.777,1.263,1.001
"2018-08-17 20:00:00",5,12.94,12.78,12.86,12.86,12.85,12.86,7.835,5.385,83.4,0,0,0,0,0,23.14,-2.268,0.614,257.4,339.1,0.035,0.001,12.7,3.198,1.187,1.001,0.04,0,12.3,3.398,1.213,1.001,0.074,0.001,12.25,4.776,1.263,1.001
"2018-08-17 20:30:00",6,12.95,12.77,12.86,12.85,12.84,12.85,6.781,5.276,80.4,0,0,0,0,0,35.18,-1.787,0.857,253.9,335.6,0.034,0.001,12.39,3.178,1.186,1.001,0.04,0,12.34,3.398,1.213,1.001,0.074,0.001,12.24,4.777,1.263,1.001
"2018-08-17 21:00:00",7,12.93,12.75,12.85,12.84,12.83,12.84,6.175,5.713,80.4,0,0,0,0,0,28.71,-1.959,0.477,253.1,334.2,0.034,0.001,12.07,3.175,1.186,1.001,0.04,0,12.36,3.398,1.213,1.001,0.074,0.001,12.23,4.777,1.263,1.001
"2018-08-17 21:30:00",8,12.91,12.45,12.69,12.83,12.82,12.83,8.33,5.138,84.1,0,0,0,0,0,25.09,-2.205,0.526,251.4,331.5,0.034,0.001,11.73,3.175,1.186,1.001,0.04,0,12.38,3.398,1.213,1.001,0.074,0.001,12.22,4.777,1.263,1.001
"2018-08-17 22:00:00",9,12.92,12.74,12.84,12.82,12.82,12.82,5.584,4.188,85.5,0,0,0,0,0,37.62,-1.85,0.774,250.6,329.4,0.034,0.001,11.39,3.174,1.186,1.001,0.04,0,12.39,3.398,1.213,1.001,0.074,0.001,12.22,4.776,1.263,1.001
"2018-08-17 22:30:00",10,12.91,12.73,12.84,12.82,12.81,12.81,4.871,4.463,84.7,0,0,0,0,0,32.77,-1.789,0.663,250.3,328.7,0.034,0.001,11.07,3.174,1.186,1.001,0.04,0,12.4,3.398,1.213,1.001,0.074,0.001,12.21,4.777,1.263,1.001
"2018-08-17 23:00:00",11,12.91,12.73,12.83,12.81,12.8,12.8,4.503,3.959,84.9,0,0,0,0,0,43.35,-1.884,0.639,249.2,327.2,0.034,0.001,10.75,3.175,1.186,1.001,0.04,0,12.4,3.398,1.213,1.001,0.074,0.001,12.21,4.777,1.263,1.001
"2018-08-17 23:30:00",12,12.92,12.73,12.83,12.8,12.79,12.79,4.126,4.28,85.7,0,0,0,0,0,35.83,-1.926,0.494,248,326,0.034,0.001,10.45,3.175,1.186,1.001,0.04,0,12.4,3.398,1.213,1.001,0.074,0.001,12.21,4.777,1.263,1.001
"2018-08-18 00:00:00",13,12.92,12.73,12.83,12.79,12.78,12.78,3.811,3.875,83.9,0,0,0,0,0,41.17,-1.696,0.681,247.4,325,0.034,0.001,10.16,3.176,1.186,1.001,0.04,0,12.38,3.398,1.213,1.001,0.074,0.001,12.2,4.776,1.263,1.001
"2018-08-18 00:30:00",14,12.91,12.71,12.82,12.78,12.77,12.77,3.586,4.06,83.7,0,0,0,0,0,46.74,-1.985,0.339,246.5,324.3,0.034,0.001,9.88,3.175,1.186,1.001,0.04,0,12.36,3.398,1.213,1.001,0.074,0.001,12.2,4.776,1.263,1.001
"2018-08-18 01:00:00",15,12.91,12.72,12.82,12.77,12.76,12.76,3.431,3.971,86.1,0,0,0,0,0,54.12,-1.924,0.349,246,323.9,0.034,0.001,9.61,3.176,1.186,1.001,0.04,0.001,12.33,3.398,1.213,1.001,0.074,0.001,12.2,4.777,1.263,1.001
"2018-08-18 01:30:00",16,12.9,12.72,12.82,12.76,12.75,12.76,3.173,3.056,89.1,0,0,0,0,0,47.87,-2.088,0.45,245.5,322.1,0.034,0.001,9.37,3.175,1.186,1.001,0.04,0,12.3,3.398,1.213,1.001,0.074,0.001,12.2,4.777,1.263,1.001
"2018-08-18 02:00:00",17,12.9,12.69,12.81,12.75,12.74,12.75,2.851,3.285,84.3,0,0,0,0,0,42.56,-1.47,0.727,245.8,322.6,0.034,0.001,9.13,3.175,1.186,1.001,0.04,0.001,12.26,3.398,1.213,1.001,0.074,0.001,12.19,4.776,1.263,1.001
"2018-08-18 02:30:00",18,12.91,12.71,12.81,12.74,12.73,12.74,2.76,3.636,82.9,0,0,0,0,0,41.56,-1.813,0.465,245.7,322,0.034,0.001,8.89,3.175,1.186,1.001,0.04,0.001,12.22,3.398,1.213,1.001,0.074,0.001,12.19,4.777,1.263,1.001
"2018-08-18 03:00:00",19,12.89,12.69,12.8,12.73,12.73,12.73,2.611,3.336,81.3,0,0,0,0,0,42.66,-1.844,0.49,244.8,321.2,0.034,0.001,8.66,3.175,1.186,1.001,0.04,0,12.17,3.398,1.213,1.001,0.074,0.001,12.19,4.777,1.263,1.001
"2018-08-18 03:30:00",20,12.87,12.4,12.63,12.73,12.72,12.72,4.946,3.843,82.4,0,0,0,0,0,57.46,-1.77,0.377,245,321.3,0.034,0.001,8.46,3.175,1.186,1.001,0.04,0,12.12,3.398,1.213,1.001,0.074,0.001,12.19,4.776,1.263,1.001
"2018-08-18 04:00:00",21,12.88,12.67,12.79,12.72,12.71,12.71,2.727,3.191,84.6,0,0,0,0,0,38.18,-1.849,0.513,244.6,320.6,0.034,0.001,8.25,3.175,1.186,1.001,0.04,0,12.06,3.398,1.213,1.001,0.074,0.001,12.19,4.776,1.263,1.001
"2018-08-18 04:30:00",22,12.89,12.7,12.8,12.71,12.7,12.7,2.246,3.066,84.2,0,0,0,0,0,46.84,-1.8,0.568,244.1,320.3,0.034,0.001,8.06,3.176,1.186,1.001,0.04,0,12.01,3.398,1.213,1.001,0.074,0.001,12.18,4.777,1.263,1.001
"2018-08-18 05:00:00",23,12.89,12.7,12.8,12.7,12.69,12.7,1.999,2.935,80.8,0,0,0,0,0,42.73,-1.814,0.555,243.6,319.8,0.034,0.001,7.896,3.176,1.186,1.001,0.04,0,11.95,3.398,1.213,1.001,0.074,0.001,12.18,4.777,1.263,1.001
